,기사 제목,url
0,“간병비 걱정없는 나라? 이대론 시범사업도 실패 불보듯”,https://www.sedaily.com/NewsView/2GRHBLPSP1
1,"남서울대, 매주저수지 수변 산책로 준공식…지역 상생 프로젝트",https://www.yna.co.kr/view/AKR20250408129700063?input=1195m
2,남서울대 개교 31주년 기념 '지역 주민과 함께하는 축하 음악회' 개최,http://www.veritas-a.com/news/articleView.html?idxno=548962
3,남서울대 SW미래채움 충남센터 강사 발대식/사업 간담회 개최,http://www.veritas-a.com/news/articleView.html?idxno=548748
4,"남서울대, ‘매주저수지 수변산책로 준공식’ 개최",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202504081834359370652
5,"남서울대, 개교 31주년 기념 지역민 초청 '축하음악회'",https://www.daejonilbo.com/news/articleView.html?idxno=2194940
6,"남서울대학교, SW미래채움 충남센터 강사 발대식 및 사업 간담회",https://www.newsfreezone.co.kr/news/articleView.html?idxno=619477
7,남서울대 '캠퍼스팜 운송 모빌리티 Opening Day' 개최,http://www.veritas-a.com/news/articleView.html?idxno=548067
8,남서울대 '스마트팜⇒학생식당' 자율주행 전기차 선보여,https://www.kukinews.com/article/view/kuk202504020171
9,"대학교 브랜드평판 4월 1위 서울대학교, 2위 연세대학교, 3위 고려대학교",https://www.pinpointnews.co.kr/news/articleView.html?idxno=335053
10,[한국에살며] 튀르키예 사람들의 한국 인식,http://www.segye.com/newsView/20250409515599?OutUrl=naver
11,"한국여성정책연구원, 개원 42주년 기념 세미나…“저출생·고령화 극복 가족정책 모색”",https://www.womennews.co.kr/news/articleView.html?idxno=260559
12,"서울시복지재단, 남서울대 사회복지학과 장동호 교수 초청 '사회적 안전망으로써 금융복지의 역할' 강연",https://www.lecturernews.com/news/articleView.html?idxno=175773
13,논산가정‧성통합상담센터-남서울대학교 라이즈사업 협력 관계 구축,http://www.cctimes.kr/news/articleView.html?idxno=839583
14,"""걷고 싶은 매주저수지""…지역과 함께 만든 힐링 공간",https://www.daejonilbo.com/news/articleView.html?idxno=2195260
15,[게시판] 서울시복지재단 10일 '금융복지 콘퍼런스',https://www.yna.co.kr/view/AKR20250404165900004?input=1195m
16,"유승엽 남서울대 교수, 광고학회 30대 회장 취임",https://www.kmib.co.kr/article/view.asp?arcid=0027921447&code=61121111&cp=nv
17,"유승엽 남서울대 교수, 제30대 한국광고학회 회장 취임",http://www.veritas-a.com/news/articleView.html?idxno=547536
18,"논산가정‧성통합상담센터-남서울대학교, 라이즈 사업 위한 협력 관계 구축",http://www.bzeronews.com/news/articleView.html?idxno=705723
19,"[라이즈(RISE) 레이더] 논산가정‧성통합상담센터-남서울대, 라이즈 통해 '가정‧성폭력 등 상담' 협력",https://news.unn.net/news/articleView.html?idxno=577294
20,"남서울대학교, 캠퍼스팜 운송 모빌리티 Opening Day 개최",https://www.newsfreezone.co.kr/news/articleView.html?idxno=618516
