Unnamed: 0,번호,제목,저자,출판사,출판일
,1,"BigData: Issues, Challenges, Technologies and Methods","Adam, Khalid; Fakharaldien, Mohammed Adam Ibrahim; Zain, Jasni Mohamed; Abdul Majid, Mazlina; Noraziah, Ahmad",Springer,2013
,2,Effective BigData-Space Service Selection over Trust and Heterogeneous QoS Preferences,"Wang, H.; Yu, C.; Wang, L.; Yu, Q.",Institute of Electrical & Electronics Engineers,2018
,3,Tele-electrocardiography and bigdata: The CODE (Clinical Outcomes in Digital Electrocardiography) study,"Ribeiro, Antonio Luiz P.; Paixão, Gabriela M.M.; Gomes, Paulo R.; Ribeiro, Manoel Horta; Ribeiro, Antônio H.; Canazart, Jéssica A.; Oliveira, Derick M.; Ferreira, Milton P.; Lima, Emilly M.; Moraes, Jermana Lopes de; Castro, Nathalia; Ribeiro, Leonardo B.","Elsevier Science B.V., Amsterdam",2019
,4,Are Today's SHM Procedures Suitable for Tomorrow's BIGDATA?,"Matarazzo,  Thomas J.; Shahidi,  S. Golnaz; Chang,  Minwoo; Pakzad,  Shamim N.","Curran Associates, Inc.",2015
,5,High-frequency forecasting from mobile devices' bigdata: an application to tourism destinations' crowdedness,"Ramos, Vicente; Yamaka, Woraphon; Alorda, Bartomeu; Sriboonchitta, Songsak",Emerald Group Publishing Limited,2021
,6,A novel process model for developing a scalable room-level energy benchmark using real-time bigdata: Focused on identifying representative energy usage patterns,"Lee, Junsoo","Elsevier Science B.V., Amsterdam.",2022
,7,Bigdata analytics identifies metabolic inhibitors and promoters for productivity improvement and optimization of monoclonal antibody (mAb) production process,"Morris, Caitlin",Springer Nature,2020
,8,BigData Collected Using GPS to Measure and Study the Battery Consumption on of Mobile Devices,Jin-Tae Park; Hyun-Seo Hwang; Il-Young Moon,International Information Institute,2014
,9,"Bigdata fog based cyber physical system for classifying, identifying and prevention of SARS disease.","Raghav, R.S.; Dhavachelvan, P.; Vijayakumar, V.; Subramaniyaswamy, V.; Abawajy, Jemal; Yang, Longzhi. ","JOHN WILEY & SONS, INC",2019
,10,BigData based on a Combination of GPS and Movement Pattern Analysis of Students,Jin-Tae Park; Hee-Soo Kang; Jun-Soo Yun; Il-Young Moon,International Information Institute,2014
,11,Bigdata logs analysis based on seq2seq networks for cognitive Internet of Things,"Wu, Pin; Lu, Zhihui; Zhou, Quan; Lei, Zhidan; Li, Xiaoqiang; Qiu, Meikang; Hung, Patrick C.K.","Elsevier Science B.V., Amsterdam.",2019
,12,Bigdata Analytics on Diabetic Retinopathy Study (DRS) on Real-time Data Set Identifying Survival Time and Length of Stay,"Sujatha, V.","Elsevier Science B.V., Amsterdam",2016
,13,"BiDArch: BigData Architect, Generator of Big Data Solution Architectures","Sosa,  Julio; Jiménez-Guarín,  Claudia",Springer,2017
,14,Clusterix-Like BigData DBMS,"Raikhlin, Vadim A.",Springer Nature,2020
,15,Real-time BigData and Predictive Analytical Architecture for healthcare application,"Chauhan, Vikas; Gaur, Raghvendra; Tiwari, Aruna; Shukla, Anupam",Springer Nature,2019
,16,NSF BIGDATA PI Meeting — Domain-Specific Research Directions and Data Sets,"Singh, Lisa; Deshpande, Amol; Zhou, Wenchao; Banerjee, Arindam; Bowers, Alex; Friedler, Sorelle; Jagadish, H. V.; Karypis, George; Obradovic, Zoran; Vullikanti, Anil",Association for Computing Machinery; 1999,2018
,17,Orchestrating BigData Analysis Workflows,"Ranjan, R.; Garg, S.; Khoskbar, A. R.; Solaiman, E.; James, P.; Georgakopoulos, D.",IEEE,2017
,18,A Two-Directional BigData Sorting Architecture on FPGAs,"Lai, Bo-Cheng; Chen, Chun-Yen; Hsin, Yi-Da; Lin, Bo-Yen",IEEE Computer Society,2020
,19,2PBDC: privacy-preserving bigdata collection in cloud environment,"Srinivas, Jangirala",Springer Nature,2020
,20,Prologue – BigData and DSS in agriculture,"Cancela, Héctor; Higgins, Andrew; Pagès-Bernaus, Adela; Plà-Aragonès, Lluis Miquel","Elsevier Science B.V., Amsterdam.",2019
,21,Call for Papers_Bigdata-call-2016-final-1,unknown,"Elsevier Science B.V., Amsterdam",2016
,22,AphasiaBank as BigData,"MacWhinney, Brian; Fromm, Davida",Thieme-Stratton,2016
,23,Optimizing Leisure Travel: Is BigData Ready to Improve the Joint Leisure Activities Efficiency?,"Gkiotsalitis,  K.; Stathopoulos,  A.",Springer.,2014
,24,Human activity pattern in bigdata for healthcare application,S. Durai; M. Viswanathan; C. S. Kumari; S. Florence,American Scientific Publishers,2018
,25,Semantic Data Profiling for Bigdata,"Salem,  Aïcha Ben; Boufares,  Faouzi; Correia,  Sebastiao",International Society for Computers and Their Applications,2015
,26,Indexing in Multi-Formatted BigData,Wooyung Lee; Jeong-Jin Kang; Muhammad Shahid Ansari,International Information Institute,2014
,27,BigCache: a cache-based BigData management in mobile networks,Kshama Raichura ; Nilesh Padhariya,Interscience Enterprises,2017
,28,NoSQL: Future of BigData Analytics Characteristics and Comparison with RDBMS,"Arshad, Muhammad",Springer Nature,2023
,29,An efficient gene bigdata analysis using machine learning algorithms,"Wang, Ge",Springer Nature,2020
,30,Design and Implementation of BigData Visualization System Based on Meta DB Automatic Mapping Algorithm,Weon-Jin Cho; Jae-Sung Shim; Seok-Cheon Park,International Information Institute,2016
,31,Current Challenges with BIGDATA Analytics in Structural Health Monitoring,"Gulgec, Nur Sila; Shahidi, Golnaz S.; Matarazzo, Thomas J.; Pakzad, Shamim N.","Curran Associates, Inc",2017
,32,"Scenario analysis, from BigData to black swan","Batrouni, Marwan; Bertaux, Aurélie; Nicolle, Christophe","Elsevier Science B. V., Amsterdam",2018
,33,EP-1719 Automated data processing and BigData in radiation therapy,"Schmidt, O.; Ballmann, N.; Bert, C.; Fietkau, R.","Elsevier Science B.V., Amsterdam.",2019
,34,Fundamental Survey of Map Reduce in Bigdata with Hadoop Environment,"Dhamecha, Maulik; Patalia, Tejas",Springer,2018
,35,Student commentary using MAD and BigData,"Madhuravani, B.",AIP American Institute of Physics,2023
,36,Performance Evaluation of Unstructured PBRA for Bigdata with Cassandra and MongoDB in Cloud,"Gupta, Sangeeta",IGI Publishing,2018
,37,Data Summary Techniques based on Mapreduce in Bigdata,Jeong-Joon Kim,International Information Institute,2018
,38,Knowledge Digest Engine for Personal Bigdata Analysis,"Kim, Y.; Moon, J.; Lee, H.-J.; Bae, C.-S.",Dordrecht; Springer,2012
,39,A novel approach for privacy preservation in bigdata using data perturbation in nested clustering in Apache Spark,R. Hariharan; S. S. Raj; R. Vimala,American Scientific Publishers,2018
,40,IFHDS: Intelligent Framework for Securing Healthcare BigData,"Essa, Youssef M.; Hemdan, Ezz El-Din; El-Mahalawy, Ahmed; Attiya, Gamal; El-Sayed, Ayman",Springer Nature,2019
,41,151 – Using Deeplearning and Genetic Bigdata to Predict Crohn's Disease,"Li, Dalin; Haritunians, Talin; Mengesha, Emebet; Targan, Stephan R.; McGovern, Dermot",ELSEVIER SCIENCE B.V. AMSTERDAM,2019
,42,A MODIFIED KEY PARTITIONING FOR BIGDATA USING MAPREDUCE IN HADOOP,"Palanisamy,  Balasubramanie; Ekambaram,  Gothai",Science Publications,2015
,43,Platform Independent Workflow Mechanism for Bigdata Analytics,"Ku,  Tai-Yeon; Won,  Hee-Sun; Choi,  Hoon",Springer,2016
,44,Urban carbon mapping with spatial BigData,"Yamagata, Yoshiki; Murakami, Daisuke; Yoshida, Takahiro","Elsevier Science B.V., Amsterdam",2017
,45,2015 IEEE Service Congress and IEEE BigData Congress House Advertisement,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,46,Miscegenation of scalable and DEP3K performance evaluation of nosql-cassandra for bigdata applications deployed in cloud,"Gupta, Sangeeta; Narsimha, G.",Inderscience,2018
,47,Hybrid Multi-Modal Deep Learning using Collaborative Concat Layer in Health Bigdata,"Kim, Joo-Chang; Chung, Kyungyong",IEEE,2020
,48,A Scalable Product Recommendations Using Collaborative Filtering in Hadoop for Bigdata,"Riyaz, P.A.; Varghese, Surekha Mariam","Elsevier Science B.V., Amsterdam",2016
,49,Secure NoSQL for the Social Networking and E-Commerce Based Bigdata Applications Deployed in Cloud,"Gupta, SangeetaGugulothu, Narsimha",IGI Publishing,2018
,50,A New Service for Customer Care Based on the TrentoRise BigData Platform,"Ramazzina, S.; Ballari, C.L.; Somenzi, D.",unknown,2013
,51,Incentive Compatible E-mandi with Large Scale Consumer Producer Matching Using BigData Based on Gale-shapely Algorithm for Perishable Commodities SCM,"Vinu Kiran, S.","Elsevier Science B.V., Amsterdam",2016
,52,A Multi-step Nonlinear Dimension-reduction Approach with Applications to Bigdata,"Krishnan, R.","Elsevier Science B.V., Amsterdam",2018
,53,Personalized Recommendation System for Efficient Integrated Cognitive Rehabilitation Training Based on Bigdata,"Kim, Jeong Joon; Kim, Yong-Jun; Lee, Hyeok-Min; Lee, Sang-Ho; Chung, Sung-Taek",Springer,2018
,54,"Case-fatality, disability and recurrence rates after first-ever stroke: A study from bigdata observatory platform for stroke of China","Tu, Wen-Jun; Chao, Bao-Hua; Ma, Lin; Yan, Feng; Cao, Lei; Qiu, Hancheng; Ji, Xun-Ming; Wang, Long-De","Elsevier Science B.V., Amsterdam.",2021
,55,Direct Error Driven Learning for Deep Neural Networks with Applications to Bigdata,"Krishnan, R.","Elsevier Science B.V., Amsterdam",2018
,56,Analysis of Bodily Fluids and Fomites in Transmission of Ebola Virus Using Bigdata,"Jemimah, C.","Elsevier Science B.V., Amsterdam",2016
,57,Correction to: IFHDS: Intelligent Framework for Securing Healthcare BigData,"Essa, Youssef M.; Hemdan, Ezz El-Din; El-Mahalawy, Ahmed; Attiya, Gamal; El-Sayed, Ayman",Springer Nature,2019
,58,A fast online learning algorithm for distributed mining of BigData,"Zhang, Yu;Sow, Daby;Turaga, DeepakSchaar, Mihaela van der",Association for Computing Machinery,2014
