연번,의료기관명,요양종별,관계 행정기관,근거 법령,설립형태,응급지정,허가병상수,주소,홈페이지,대표전화,FAX
1,서울대학교병원,상급종합병원,교육부,서울대학교병원 설치법,공립(기타),권역응급의료센터,1803,서울특별시 종로구 대학로 101 (연건동),www.snuh.org,1588-5700,1588-5700
2,서울적십자병원,종합병원,대한적십자사,대한적십자사 조직법,공립(기타),지역응급의료기관,292,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",www.rch.or.kr/seoul,02-2002-8000,02-2002-8000
3,서울특별시 동부병원,종합병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시군구립),지역응급의료기관,201,서울특별시 동대문구 무학로 124 (용두동),www.dbhosp.go.kr,02-920-9114,02-920-9114
4,경찰병원,종합병원,경찰청,경찰청과 그 소속기관 직제,국립,지역응급의료기관,380,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",www.nph.go.kr,02-3400-1114,02-3400-1114
5,한국보훈복지의료공단 중앙보훈병원,종합병원,국가보훈처,한국보훈복지의료공단법,공립(기타),지역응급의료센터,985,서울특별시 강동구 진황도로61길 53 (둔촌동),http://seoul.bohun.or.kr,02-2225-1114,02-2225-1114
6,서울특별시보라매병원,종합병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),지역응급의료센터,765,서울특별시 동작구 보라매로5길 20 (신대방동),http://www.brmh.org,02-870-2114,02-870-2114
7,한국원자력의학원원자력병원,종합병원,과학기술정보통신부,방사선 및 방사성동위원소 이용진흥법,공립(기타),지역응급의료기관,483,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",www.kirams.re.kr,02-970-2114,02-970-2114
8,국립중앙의료원,종합병원,국립중앙의료원,국립중앙의료원의 설립 및 운영에 관한 법률,특수법인,지역응급의료센터,499,서울특별시 중구 을지로 245 (을지로6가),www.nmc.or.kr,02-2260-7114,02-2260-7114
9,서울특별시서울의료원,종합병원,서울특별시,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),권역응급의료센터,655,서울특별시 중랑구 신내로 156 (신내동),http://www.seoulmc.or.kr/,02-2276-7000,02-2276-7000
10,서울특별시서남병원,종합병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),지역응급의료기관,250,서울특별시 양천구 신정이펜1로 20 (신정동),www.eussh.org,1566-6688,1566-6688
11,서울특별시서북병원,병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,414,서울특별시 은평구 갈현로7길 49 (역촌동),htt://sbhosp.seoul.go.kr/,02-3156-3000,02-3156-3000
12,서울특별시어린이병원,병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,208,서울특별시 서초구 헌릉로 260 (내곡동),http://childhosp.seoul.gol.kr,02-570-8000,02-570-8000
13,서울지구병원,병원,국방부,국군조직법,군병원,,30,서울특별시 종로구 삼청로10길 13 (삼청동),,1688-6488,1688-6488
14,국립재활원,병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,264,"서울특별시 강북구 삼각산로 58 (수유동, 국립재활원)",www.nrc.go.kr,02-901-1700,02-901-1700
15,서울특별시 북부병원,병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,200,서울특별시 중랑구 양원역로 38 (망우동),www.seoulnmh.net,02-2036-0200,02-2036-0200
16,한국보훈복지의료공단 서울요양병원,요양병원,국가보훈처,한국보훈복지의료공단법,공립(기타),,396,"서울특별시 강동구 진황도로61길 53, 중앙보훈병원 (둔촌동)",https://seoulcare.bohun.or.kr,02-2225-1123,02-2225-1123
17,의료법인참예원의료재단강남구립행복요양병원,요양병원,서울특별시,서울특별시 강남구 노인전문병원 설치 및 운영에 관한 조례,공립(시군구립),,307,"서울특별시 강남구 헌릉로590길 60 (세곡동, 강남구립 행복요양병원)",http://www.gangnamguhospital.kr,02-6053-2114,02-6053-2114
18,푸르메재단 넥슨어린이재활병원,요양병원,서울특별시,장애인 건강권 및 의료접근성 보장에 관한 법률 ,공립(시군구립),,34,"서울특별시 마포구 월드컵북로 494, 지하1층~7층 (상암동, 푸르메재단넥슨어린이재활병원)",http://www.purmehospital.org/,02-6070-9000,
19,서울특별시은평병원,정신병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,203,서울특별시 은평구 백련산로 90 (응암동),http://ephosp.seoul.go.kr,02-300-8114,02-300-8114
20,국립정신건강센터,정신병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,200,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",www.ncmh.go.kr,02-2204-0114,02-2204-0114
21,서울대학교치과병원,치과병원,교육부,서울대학교치과병원 설치법,공립(기타),,40,서울특별시 종로구 대학로 101 (연건동),https://www.snudh.org/,1522-2700,1522-2700
22,서울특별시장애인치과병원,치과병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시도립),,0,서울특별시 성동구 마장로 207 (홍익동),http://www.sdh.go.kr/,02-2282-0001,02-2282-0001
23,관악서울대학교치과병원,치과병원,교육부,서울대학교치과병원 설치법,공립(기타),,0,"서울특별시 관악구 관악로 1, 지1~3층 (신림동)",https://www.snudhgw.org/gw/main/main.do,02-6256-3900,
24,성동재활의원,의원,서울특별시,서울특별시 성동구립 사회복지시설 등 설치 및 위탁운영에 관한 조례,공립(시군구립),,0,서울특별시 성동구 뚝섬로1길 43 (성수동1가),,02-2204-9970,
25,근로복지공단 서울의원,의원,고용노동부,산업재해보상보험법,공립(기타),,0,"서울특별시 영등포구 국회대로 612, 코레일유통 사옥 20층 (당산동3가)",www.comwel.or.kr/incheon/clinic/intr.jsp,02-2670-0202,02-2670-0202
26,부산대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),지역응급의료센터,1180,부산광역시 서구 구덕로 179 (아미동1가),http://www.pnuh.or.kr/pnuh,051-240-7000,051-240-7000
27,부산광역시의료원,종합병원,부산광역시,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,543,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",www.busanmc.or.kr,051-507-3000,051-507-3000
28,한국보훈복지의료공단 부산보훈병원,종합병원,국가보훈처,한국보훈복지의료공단법,특수법인,지역응급의료기관,475,부산광역시 사상구 백양대로 420 (주례동),http://busan.bohun.or.kr,051-601-6000,051-601-6000
29,동남권원자력의학원,종합병원,과학기술정보통신부,방사선 및 방사성동위원소 이용진흥법,공립(기타),지역응급의료기관,225,부산광역시 기장군 장안읍 좌동길 40,www.dirams.re.kr,051-720-5114,051-720-5114
30,부산시립정신병원,정신병원,부산광역시,부산광역시립정신병원 설치 및 운영 조례,공립(시도립),,306,부산광역시 사상구 학감대로39번길 104-36 (학장동),www.bmmh.or.kr,051-312-2288,051-312-2288
31,부산시노인전문제1병원,요양병원,부산광역시,부산광역시 노인전문병원 설치 및 운영 조례,공립(시도립),,200,부산광역시 북구 함박봉로 98 (만덕동),www.busangh.co.kr,051-342-7272,051-342-7272
32,부산노인전문제2병원,요양병원,부산광역시,부산광역시 노인전문병원 설치 및 운영 조례,공립(시도립),,188,부산광역시 연제구 월드컵대로 359 (거제동),www.busangh.or.kr,051-607-2075,051-607-2075
33,부산노인전문제3병원,요양병원,부산광역시,부산광역시 노인전문병원 설치 및 운영 조례,공립(시도립),,251,부산광역시 해운대구 해운대로469번가길 77 (우동),www.busangh.com,051-780-5555,051-780-5555
34,부산노인전문제4병원,요양병원,부산광역시,부산광역시 노인전문병원 설치 및 운영 조례,공립(시도립),,210,부산광역시 사하구 동매로44번길 4 (하단동),www.부산노인전문제4병원.com,051-202-1370,051-202-1370
35,근로복지공단 부산의원,의원,고용노동부,산업재해보상보험법,공립(기타),,0,"부산광역시 부산진구 자유평화로 11, 누리엔 16층 (범천동)",www.comwel.or.kr/changwon/busan/intr/genl.jsp,051-790-3300,051-790-3300
36,인천광역시의료원,종합병원,인천광역시,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,303,"인천광역시 동구 방축로 217-  (송림동,217)",http://www.icmc.or.kr/,032-580-6000,032-580-6000
